block,NumSp,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
R8_b14,8,2282.9602999999997,2053.5495,1547.0647,1421.0629000000001,1284.754,1093.9509,894.4372,388.72900000000004,269.355,844.03,453.72400000000005,634.3770000000001,455.5160000000001,599.9270100000001,550.176,557.2209999999999,495.424,519.441,426.517,371.664,351.96400000000006,280.398
R8_b15,8,2160.59,1805.8726000000001,1436.6943999999999,1209.1164,1120.7206,987.3201999999999,772.8408999999999,380.67,269.4831,848.6310000000001,472.218,596.7070000000001,470.51300000000003,542.9739999999999,557.385,540.516,468.4799999999999,497.881,439.6379999999999,347.954,370.217,296.913
R8_b16,8,2330.2369,2193.7453,1706.798,1519.05,1287.4993,1224.5643,930.4936,445.29400000000004,301.2592000000001,984.8470000000001,526.204,719.0530000000001,542.149,608.4050100000001,603.374,600.4069999999999,520.373,543.27,454.422,356.08000000000004,355.28599999999994,319.2
R8_b17,8,1990.2099999999998,1973.9933999999998,1338.3169,1066.6694000000002,1059.7372,916.9414999999999,779.7369000000001,320.43299999999994,270.1272,910.9069999999999,485.241,659.7139999999999,480.30099999999993,666.26,603.745,571.9240000000001,541.1310000000001,569.269,473.31100000000004,402.384,377.024,291.54100000000005
R8_b18,8,2158.3999,2060.3362000000006,1539.7549000000001,1369.7253,1337.4617000000003,1192.6544,840.3019,408.25399999999996,274.3682,840.501,439.60900000000004,657.7520000000001,532.245,623.7059999999999,567.1719999999999,547.608,528.7760000000001,600.2919999999999,487.535,362.79699999999997,356.846,300.50100000000003
R8_b19,8,2267.1503,2119.9967,1584.0794,1355.7633999999998,1209.3223000000003,1195.633,889.4182999999999,460.72700000000003,315.3672,975.3520000000002,554.704,716.551,557.0319999999999,619.5049999999999,621.8840000000001,604.4130000000001,519.105,572.061,484.55099999999993,347.66399999999993,382.537,340.39099999999996
R16_b0,16,2882.3298000000004,2555.727,1646.1645,1740.7777,1440.7035,1487.9566,1103.8118299999999,626.0829999999999,349.8933,1155.968,601.217,862.1869999999999,638.1699999999998,700.9601999999999,628.838,685.646,673.9889999999999,732.4239999999999,632.212,564.72,536.6800000000001,406.69300000000004
R16_b1,16,2859.6069,2498.6240000000003,1749.9285,1676.4500999999996,1566.4146999999998,1478.3346000000001,1172.3454,658.11,379.1033,1153.1509999999998,653.0930000000001,815.9540000000001,620.7439999999999,717.8961999999999,656.793,685.35,669.1,679.02,592.1050000000001,547.4590000000001,507.25100000000003,419.8570000000001
R16_b2,16,2474.7365,2047.7915,1437.4937,1472.4626,1364.1573999999996,1358.9452999999999,1008.4267300000001,507.471,291.177,1076.871,600.116,772.326,564.141,644.0952,616.272,605.156,628.2470000000001,588.3030000000001,523.364,422.02799999999996,401.992,336.294
R16_b3,16,2463.7866000000004,2101.4909,1397.4001,1483.3739,1398.0178,1260.9188,943.0203999999998,484.73900000000003,323.896,1149.9520000000002,572.6510000000001,822.448,564.133,599.9871999999999,633.5139999999999,584.144,638.0889999999999,529.899,533.2520000000001,438.48100000000005,404.609,353.332
R16_b4,16,3129.0765,2415.749,1815.4245999999998,1802.1956000000002,1603.7404000000001,1594.084,1200.1893,650.767,357.943,1219.909,630.7940000000001,865.8799999999999,649.4999999999999,706.927,730.807,703.742,746.5690000000001,727.9849999999999,673.4979999999999,523.0600000000001,456.03399999999993,376.0
R16_b5,16,2424.3901,2184.5517,1441.1641,1394.6632,1377.1055000000001,1361.0161,1022.2045,523.549,337.94829999999996,1076.673,563.2359999999999,742.3030000000001,562.7729999999999,579.3402,675.048,612.303,613.5020000000001,593.467,541.4729999999998,435.187,405.964,342.279
R16_b6,16,2628.8866,2186.1471,1392.4414000000002,1450.1510000000003,1471.0085,1269.9635,1038.4803,546.592,347.11499999999995,1161.913,558.15,777.6479999999999,546.2819999999999,631.3639999999999,636.6659999999999,620.1380000000001,637.5849999999999,594.5939999999999,582.7289999999999,527.268,435.00200000000007,402.417
R16_b7,16,2398.0863,2113.145,1371.6906999999999,1393.6093,1320.6820000000002,1291.5772000000002,927.2917,465.81499999999994,302.879,1035.01,550.9329999999999,822.3889999999999,519.4470000000001,661.2679999999999,641.557,585.095,579.5269999999999,623.797,562.219,439.965,375.35,354.909
R16_b8,16,2616.7198,2381.5124,1679.1977,1753.0197,1460.2612999999997,1505.0918,1098.1091000000001,543.037,312.76329999999996,1095.791,604.8480000000001,828.519,605.7810000000001,702.0400000000001,586.055,601.557,635.8060000000002,666.546,551.699,473.46899999999994,442.01099999999997,371.662
