plot,NumSp,Yn,Omega2,Delta2,I2_obs,Phi2_obs,I2_scalar,I2_cdsm,Phi2_scalar,Phi2_cdsm
R8_b12,8,652.9737588235295,-0.008671378101231308,0.3146729278541901,0.3756388956363719,0.401645876427842,0.6226316831897296,,0.5262540903191182,
R8_b13,8,693.3670882352942,0.024684293155807224,0.3236003160256834,0.36826482779352765,0.48831575974037367,0.6366231016786068,0.3725349468166521,0.5537769397308231,0.4474773972754692
R8_b14,8,713.0707888235294,-0.1695808105566181,0.15108239797848855,0.2911807737413429,0.1982798620601599,0.5265400431084108,,0.1571286123476039,
R8_b15,8,674.9718705882353,-0.12852485059551633,0.2987675842747429,0.3270075761984844,0.3396039911658889,0.5746356015415504,,0.4450739726687938,
R8_b16,8,763.4077241176469,-0.2357620260821065,0.19901413529453582,0.30965626253894074,0.3134840540314122,0.5113802640788605,,0.20716183156884524,
R8_b17,8,688.3160470588235,0.05566511819878084,0.41791868236914953,0.3668504537406958,0.46039155337397675,0.662796354720101,0.3393378978660855,0.6800417204406258,0.39244646576852926
R8_b18,8,729.3784176470589,-0.11105081086328061,0.20981556560762515,0.3266743043334378,0.1662993205713572,0.5629967998523443,,0.3062693838963774,
R8_b19,8,759.4376529411765,-0.08585838990879968,0.2768668950053943,0.34391324317579763,0.407608188352928,0.5864602137577752,,0.43218131549203553,
R16_b0,16,927.4770135294118,0.2251155813169945,-0.13164720658298523,0.3418523472590511,0.4466423652726861,,0.3884930567570668,,0.449698460182973
R16_b1,16,935.5635352941179,0.12954606076019615,0.09022785014644885,0.3476997855859083,0.32569928080025257,0.6368367762719116,0.3331191989922996,0.27953801389001187,0.32569928080025257
R16_b2,16,826.2254782352941,0.2601677897051877,-0.057207128973671084,0.3581482203094414,0.3489284270031767,,0.34712315632321045,,0.38415892671015306
R16_b3,16,820.0546352941175,0.2959670735855128,-0.14891222890925038,0.35429594510428386,0.2952138310899338,,0.41558381662702193,,0.3865622184392856
R16_b4,16,983.2041882352942,0.1535629915710408,0.01589602924055633,0.3323625510771063,0.368863335622607,0.6335089611262192,0.3064845398169397,0.180259085569874,0.36405764365432025
R16_b5,16,825.9716882352941,0.25518946892831473,0.07558757083269307,0.3579461258321318,0.332744911702464,0.6869821766864552,0.3572869563150918,0.363530845760076,0.332744911702464
R16_b6,16,857.4342882352942,0.3760371854666358,-0.10786697733726691,0.35714608556046235,0.28440672342656437,,0.43747662526608166,,0.3760371854666358
R16_b7,16,807.5022470588236,0.3013165536119218,-0.03884978482940604,0.3602552195888523,0.36448504656137093,,0.36413240357196797,,0.3882513499841658
R16_b8,16,875.7701941176471,0.08260464756759689,-0.09188383452085835,0.33452238186350003,0.3325976268566241,,0.31158961100439886,,0.34187855045746474
R16_b9,16,944.0125958823529,0.17163191727676663,-0.22402143439136313,0.36053645116338096,0.35510002009176833,,0.38040982646082544,,0.45650529368957804
R16_b10,16,871.6328117647059,0.1707368303725414,0.13393824070090554,0.33724309824062515,0.2947446677796286,0.6614486377076583,0.33084161225683284,0.37800040331449125,0.2947446677796285
R16_b11,16,862.2890235294117,0.2018468776819431,-0.1540674821469894,0.37836659155221497,0.25421806503065913,,0.3755440933273224,,0.3537796129721007
R16_b12,16,913.5337588235295,0.07038625231525808,0.048417423484049316,0.3447501460859387,0.34317244942408176,0.6039833588770193,0.3134339842597089,0.15822601316848675,0.34317244942408176
R16_b13,16,1002.1239705882352,0.1720138887360274,0.0373072571632308,0.33082736361634557,0.42284193733809194,0.645313903348856,0.31206502670116454,0.23264125319795176,0.3633203183297593
R16_b14,16,910.8448352941176,0.30726042432667955,0.016527827634223002,0.37173786186322233,0.3595505599836718,0.7001517346016912,0.3521973923612425,0.3299701498940113,0.3595505599836718
R16_b15,16,886.8828117647058,0.3103514014232983,-0.11393464485157923,0.39676471033150695,0.4306475652284265,,0.40559998698114474,,0.42764843646381434
R16_b16,16,892.3905941176471,0.19213905812715193,0.2043853214057355,0.36720397773851554,0.4342560206144499,0.6814075969758786,0.34253926764258535,0.48862182900219847,0.3788083404602025
R16_b17,16,889.5491235294119,0.23430481976292172,0.08272978681044285,0.3875564831544782,0.34826783464149014,0.6793483179923712,0.33433115313735673,0.3557558333600228,0.34826783464149
R16_b18,16,924.1719764705881,0.34188382788647775,-0.010300346930784077,0.3914866790348359,0.32032095808803984,,0.3786841144252254,,0.34188382788647775
R16_b19,16,968.4635823529412,0.2642586353986567,0.10603185220514932,0.38079489656024856,0.3799281371137715,0.6954436095973551,0.3527602889118322,0.4120109157279941,0.3799281371137715
